smlmida,shmmida
100,יחידה
101,יחידה  קטנה מאד
102,יחידה קטנה
103,יחידה בינונית
104,יחידה גדולה
105,יחידה גדולה מאד
106,פאוץ' קטן
107,פאוץ' בינוני
200,כוס
201,כוס מידה
202,ספל
203,ספל למרק
204,כוס ליין
205,כוס קוביות
206,כוס פרוסות
207,כוס קצוץ
208,כוס מעוך
209,כוסית ליין
300,כף
301,כף שטוחה
302,כף גדושה
304,כף לגלידה
305,מצקת קטנה
307,מצקת גדולה
308,כף מידה
400,כפית
401,כפית שטוחה
402,כפית גדושה
500,פרוסה
501,פרוסה דקה
502,פרוסה בינונית
503,פרוסה עבה
600,גביע
601,גביע קטן מאד
602,גביע קטן
603,גביע בינוני
604,גביע גדול
605,גביע מחולק
700,גרמים
800,מנה
801,מנה קטנה
802,מנה בינונית
803,מנה גדולה
900,אריזה
901,חבילה
902,חפיסה
903,שקית
904,קרטון
905,אריזה אישית
906,קופסה
907,שפורפרת
908,צנצנת
909,קרטון קטן
910,קרטון גדול
911,אריזה/שקית קטנה
912,אריזה גדולה
1001,צלחת קטנה
1002,צלחת בינונית
1003,צלחת גדולה
1004,צלחת למרק
1005,קערית מרק
1006,קערית לפתן
1007,קערית חד-פעמית
1100,בקבוק
1101,בקבוק קטן
1102,בקבוק בינוני
1103,בקבוק גדול
1104,פחית
1105,פחית קטנה
1106,פחית גדולה
1201,גבעול
1202,פס/מקל
1203,עלה
1204,עיגול/כדור
1205,פלח
1206,משולש
1207,ריבוע/ קוביה
1208,אצבע
1209,גליל
1210,טבליה
1211,שן
1212,פרח
1213,מקל עבה
1214,מקל דק
1215,ראש
1216,טיפה
1217,קלח
1218,חופן
1219,חטיף
1220,חטיף מיני
1221,חטיף קטן
1222,חטיף בינוני
1223,חטיף גדול
1224,לחמניה
1225,סוכריה
1226,פיתה
1227,פיתה ביתית
1228,אשכולית
1229,פילה קטן
1230,פילה בינוני
1231,פילה גדול
1232,קטן ללא עצם
1233,בינוני ללא עצם
1234,גדול ללא עצם
1235,קטן שלם
1236,בינוני שלם
1237,גדול שלם
2000,קילוגרם
